コード,銘柄名,株価,1d,5d,1mo,3mo,6mo,1y,3y,5y,10/6,10/20,予想PER,PBR,EPS,ROE,ROA,配当
1930,北陸電気工事,1526.0,4.66,5.39,2.14,16.82,33.32,31.25,141.44,95.38,3.25,2.91,,0.9812224,113.87,7.3060006,4.6409998,3.02
1946,トーエネック,1536.0,4.63,7.64,9.56,15.21,39.28,71.23,144.66,169.16,4.07,0.63,,1.0525508,115.68,,,4.09
1934,ユアテック,2828.0,4.09,7.73,4.01,18.71,56.79,92.12,334.82,428.68,3.17,0.38,26.282528,1.3387717,169.81,8.567,5.238,2.65
1941,中電工,4105.0,3.27,6.76,4.06,17.67,23.97,27.96,116.74,134.66,2.23,0.0,,0.98289096,366.89,9.599,5.148,3.27
1938,日本リーテック,2086.0,2.51,3.88,3.27,5.57,30.46,107.53,188.38,1.95,3.67,1.88,,0.8314391,191.29,8.1920005,4.018,4.03
1949,住友電設,7460.0,2.47,8.12,17.67,15.11,47.48,68.82,207.54,254.09,3.16,1.02,,2.3193555,363.27,11.808,6.558999999999999,2.14
1950,日本電設工業,2876.0,2.31,5.16,-0.76,1.2,17.05,61.87,67.61,57.51,3.45,1.33,16.148232,0.8744246,223.76,7.242999999999999,4.334,3.27
1959,九電工,7703.0,1.52,6.26,6.88,21.37,61.02,25.35,190.11,204.17,2.46,0.36,15.505234,1.7424701,408.23,9.53,5.564,2.37
1945,東京エネシス,1773.0,1.43,1.66,3.44,10.76,63.68,58.1,104.21,172.1,8.7,4.81,27.573872,0.85872954,86.7,4.321,2.309,3.32
1944,きんでん,5361.0,1.4,4.4,4.46,15.53,44.72,68.43,269.17,256.23,3.75,0.57,26.972229,1.7934151,236.33,8.512,5.3990003,1.89
1939,四電工,1395.0,1.23,3.18,2.8,8.26,13.42,15.24,163.9,365.71,2.57,0.3,,1.0261616,109.41,,,4.72
1942,関電工,4574.0,0.7,5.17,11.21,33.6,64.35,113.2,484.51,564.62,4.03,1.33,26.975702,2.504726,207.57,13.510999000000002,7.502000000000001,1.98
